date,ticker,signal_return,rec_holding_days,buy,significance
2019-01-31,PGM,-32.05000000,75,true,87.04320000
2019-01-31,RCII,17.09000000,50,true,91.60050000
2019-01-31,AKO.B,4.58000000,1,false,86.38440000
2019-01-31,AQST,-13.87000000,33,false,100.00000000
2019-01-31,AAV,-3.41000000,2,true,74.48300000
2019-01-31,IPI,0.32000000,6,true,75.09390000
2019-01-31,HA,19.99000000,25,false,95.15070000
2019-01-31,NIU,0.66000000,83,true,90.58160000
2019-01-31,ARDS,-20.64000000,56,false,75.59700000
2019-01-31,DAL,0.67000000,35,true,71.26470000
2019-01-31,TEAM,-6.96000000,9,false,80.80840000
2019-01-31,ALSN,3.92000000,63,false,74.49000000
2019-01-31,NTES,-11.02000000,45,false,88.30450000
2019-01-31,AUB,12.83000000,71,true,70.42460000
2019-01-31,ZIOP,-92.86000000,44,false,71.16880000
2019-01-31,MHK,0.01000000,1,false,74.11620000
2019-01-31,ATKR,3.88000000,41,false,73.60450000
2019-01-31,NOW,-0.68000000,1,false,74.99240000
2019-02-01,DY,2.60000000,1,true,78.52420000
2019-02-01,STC,-7.41000000,2,false,78.55430000
2019-02-01,DGII,-0.44000000,13,false,70.06390000
2019-02-01,OSB,4.99000000,4,false,79.19560000
2019-02-01,HSII,0.03000000,2,true,86.07330000
2019-02-01,PLAN,27.04000000,60,true,82.07810000
2019-02-01,CONE,10.73000000,88,true,87.82170000
2019-02-01,SND,-3.19000000,21,false,74.90910000
2019-02-01,CONE,9.03000000,82,true,76.46770000
2019-02-01,BX,-19.56000000,78,false,71.11860000
2019-02-01,DOMO,31.57000000,79,true,93.04840000
2019-02-01,MDB,60.65000000,85,true,94.42350000
2019-02-01,HQY,9.62000000,67,true,90.07770000
2019-02-01,CWH,0.42000000,2,false,76.43680000
2019-02-01,CEPU,0.56000000,14,false,83.86610000
2019-02-01,LGD,15.12000000,14,false,80.23820000
2019-02-01,PLCE,-5.01000000,33,true,71.73740000
2019-02-01,SMCI,-30.86000000,11,false,85.51300000
2019-02-01,BBY,17.74000000,74,true,75.03540000
2019-02-01,CHS,41.01000000,65,false,77.50590000
2019-02-01,CHS,31.24000000,69,false,89.99020000
2019-02-01,COP,-0.84000000,2,false,75.16700000
2019-02-01,GES,15.71000000,22,true,72.09570000
2019-02-01,CI,-12.62000000,28,true,70.39020000
2019-02-01,VRA,50.23000000,40,true,77.81560000
